goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: INTEL(R) XEON(R) PLATINUM 8573C
,/tmp/claude-1000/-home-ap-workspace-onhotpath-ferry/940ec081-8769-4369-a2c4-15e4603aa682/scratchpad/precheck/bench.txt,
,/tmp/claude-1000/-home-ap-workspace-onhotpath-ferry/940ec081-8769-4369-a2c4-15e4603aa682/scratchpad/precheck/bench.txt,
,allocs/op,CI
Load/env_small/cold/ferry-4,90,0%
Load/env_small/warm/ferry-4,36,0%
Load/env_small/cold/koanf-4,172,0%
Load/env_small/warm/koanf-4,171,0%
Load/env_small/cold/viper-4,89,0%
Load/env_small/warm/viper-4,67,0%
Load/env_small/cold/xload-4,18,0%
Load/env_small/warm/xload-4,17,0%
Load/env_small/cold/go-envconfig-4,1,0%
Load/env_small/warm/go-envconfig-4,0,0%
Load/env_small/cold/kelseyhightower-4,57,0%
Load/env_small/warm/kelseyhightower-4,56,0%
Load/env_small/cold/stdlib-4,0,0%
Load/env_small/warm/stdlib-4,0,0%
Load/env_large/cold/ferry-4,660,0%
Load/env_large/warm/ferry-4,218,0%
Load/env_large/cold/koanf-4,1874,0%
Load/env_large/warm/koanf-4,1873,0%
Load/env_large/cold/viper-4,1017,0%
Load/env_large/warm/viper-4,920,0%
Load/env_large/cold/xload-4,252,0%
Load/env_large/warm/xload-4,251,0%
Load/env_large/cold/go-envconfig-4,28,0%
Load/env_large/warm/go-envconfig-4,27,0%
Load/env_large/cold/kelseyhightower-4,910,0%
Load/env_large/warm/kelseyhightower-4,909,0%
Load/env_large/cold/stdlib-4,5,0%
Load/env_large/warm/stdlib-4,5,0%
Load/yaml_small/cold/ferry-4,157,0%
Load/yaml_small/warm/ferry-4,103,0%
Load/yaml_small/cold/koanf-4,250,0%
Load/yaml_small/warm/koanf-4,249,0%
Load/yaml_small/cold/viper-4,183,0%
Load/yaml_small/warm/viper-4,171,0%
Load/yaml_small/cold/xload-4,138,0%
Load/yaml_small/warm/xload-4,23,0%
Load/yaml_small/cold/stdlib-4,99,0%
Load/yaml_small/warm/stdlib-4,98,0%
Load/yaml_large/cold/ferry-4,1186,0%
Load/yaml_large/warm/ferry-4,744,0%
Load/yaml_large/cold/koanf-4,2424,0%
Load/yaml_large/warm/koanf-4,2423,0%
Load/yaml_large/cold/viper-4,1704,0%
Load/yaml_large/warm/viper-4,1692,0%
Load/yaml_large/cold/stdlib-4,751,0%
Load/yaml_large/warm/stdlib-4,750,0%
Load/dump_large/cold/ferry-4,2356,0%
Load/dump_large/warm/ferry-4,1910,0%
Load/dump_large/cold/koanf-4,2369,0%
Load/dump_large/warm/koanf-4,2358,0%
Load/dump_large/cold/viper-4,1708,0%
Load/dump_large/warm/viper-4,1697,0%
Load/dump_large/cold/stdlib-4,1104,0%
Load/dump_large/warm/stdlib-4,1093,0%
StructTagCost/pooled-4,0,0%
StructTagCost/per_library-4,0,0%
geomean,,
