goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
BenchmarkLoad/env_small/warm/viper-6         	  181893	      7453 ns/op	    3696 B/op	      67 allocs/op
BenchmarkLoad/env_small/warm/viper-6         	  159651	      7888 ns/op	    3696 B/op	      67 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  767133	      1570 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  774308	      1605 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  751393	      1618 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  799378	      1580 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  657366	      1590 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  760465	      1584 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  748449	      1942 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  694296	      1597 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  729846	      1594 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/cold/xload-6         	  711978	      1583 ns/op	     952 B/op	      18 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  702813	      1635 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  769179	      1551 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  787777	      1587 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  654751	      1587 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  571909	      1842 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  770400	      1664 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  858094	      1549 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  683959	      1590 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  639334	      1632 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/warm/xload-6         	  696121	      1578 ns/op	     936 B/op	      17 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1941908	       607.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1885348	       671.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1889560	       618.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1981970	       609.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1978396	       616.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1969101	       593.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 2017434	       605.5 ns/op	      16 B/op	       1 allocs/op
